file_name,title,shot,kmeans_cluster,hdbscan_cluster,hdbscan_membership_prob
SG112553.JPEG,사랑을 피하여,ms_trg,19,0,1.0
SD105108.JPEG,오세영 창작 극화 시리즈,cu_trg,0,0,0.8887120445701222
SD105258.JPEG,오세영 창작 극화 시리즈,ms_trg,0,0,0.8602412804626043
SG112538.JPEG,사랑을 피하여,cu_trg,10,0,1.0
SE084667.JPEG,다정종합병원,cu_trg,11,0,1.0
SD082253.JPEG,몽홀,cu_trg,5,0,0.9393932818207582
SG064534.JPEG,40억 vs 1,ms_trg,6,0,1.0
SG149373.JPEG,심술100단 시리즈,fs_trg,12,0,0.9686234151474021
SD105158.JPEG,오세영 창작 극화 시리즈,ms_trg,5,0,0.8416278477116426
SG178172.JPEG,전학생은 외계인,ms_trg,8,0,0.926781086232362
SD068521.JPEG,이현세 극화시리즈,cu_trg,15,0,0.9873737789205592
SG149086.JPEG,심술100단 시리즈,fs_trg,12,0,0.9999986294117211
SG117920.JPEG,어느날 절친이 남자가 되어버렸다,ms_trg,11,0,1.0
SD073361.JPEG,면사포를 쓰고픈 남자,ms_trg,18,0,0.8796975339664667
SD105208.JPEG,오세영 창작 극화 시리즈,ms_trg,5,0,0.8734483314145383
SG149299.JPEG,심술100단 시리즈,ms_trg,12,0,1.0
SD082746.JPEG,몽홀,cu_trg,15,0,1.0
SD073077.JPEG,면사포를 쓰고픈 남자,ms_trg,11,0,0.9931511576980223
SD072885.JPEG,상자 속 1/36,ms_trg,19,0,1.0
SD104779.JPEG,오세영 창작 극화 시리즈,fs_trg,0,-1,0.0
SD068826.JPEG,이현세 극화시리즈,ms_trg,0,0,0.8467446407949024
SG117977.JPEG,어느날 절친이 남자가 되어버렸다,ms_trg,11,0,0.9826029738393296
SG117899.JPEG,어느날 절친이 남자가 되어버렸다,cu_trg,11,0,1.0
SG171966.JPEG,야수,cu_trg,17,0,1.0
SG112924.JPEG,사랑을 피하여,ms_trg,14,0,1.0
SG171828.JPEG,야수,cu_trg,10,0,1.0
SD072457.JPEG,상자 속 1/36,cu_trg,11,0,1.0
SG148579.JPEG,심술100단 시리즈,ms_trg,12,-1,0.0
SD068655.JPEG,이현세 극화시리즈,cu_trg,7,0,0.9206392434303234
SG171271.JPEG,야수,fs_trg,13,-1,0.0
SD082724.JPEG,몽홀,ms_trg,5,0,1.0
SG178409.JPEG,전학생은 외계인,ms_trg,8,0,1.0
SG112487.JPEG,사랑을 피하여,ms_trg,14,0,1.0
SG178002.JPEG,전학생은 외계인,cu_trg,8,0,1.0
SG112879.JPEG,사랑을 피하여,ms_trg,14,0,1.0
SD105146.JPEG,오세영 창작 극화 시리즈,cu_trg,5,0,0.944695509036866
SG112881.JPEG,사랑을 피하여,cu_trg,14,0,1.0
SG149214.JPEG,심술100단 시리즈,fs_trg,12,0,1.0
SD105126.JPEG,오세영 창작 극화 시리즈,ms_trg,0,-1,0.0
SD114804.JPEG,여기사는 더 이상 검을 들지 않았다,ms_trg,9,0,1.0
SD134362.JPEG,만인지상,cu_trg,6,0,0.9736882315177599
SD129514.JPEG,편지창조,cu_trg,2,0,0.8963404754480067
SD127363.JPEG,너에게 하고 싶은 말,ms_trg,19,-1,0.0
SG170942.JPEG,야수,cu_trg,5,0,0.9939420300488948
SD127514.JPEG,너에게 하고 싶은 말,ms_trg,11,0,1.0
SD104992.JPEG,오세영 창작 극화 시리즈,ms_trg,17,0,0.9797259798913365
SD086971.JPEG,보이지 않는 사람,ms_trg,2,0,0.9844620713991661
SG171433.JPEG,야수,cu_trg,6,0,0.9423965477696347
SG178133.JPEG,전학생은 외계인,ms_trg,18,-1,0.0
SD129162.JPEG,편지창조,ms_trg,18,-1,0.0
SD105188.JPEG,오세영 창작 극화 시리즈,ms_trg,0,0,0.8544163296476961
SD092382.JPEG,마이 러블리 투투,ms_trg,2,0,0.9218410482256815
SD067899.JPEG,임꺽정 (완전판),cu_trg,7,0,1.0
SD127447.JPEG,너에게 하고 싶은 말,ms_trg,19,0,0.8911967336162882
SG124341.JPEG,잉어님과 떡볶이,ms_trg,5,0,0.9455116117677792
SG148969.JPEG,심술100단 시리즈,fs_trg,12,0,1.0
SD082751.JPEG,몽홀,cu_trg,5,0,1.0
SD082731.JPEG,몽홀,ms_trg,15,0,0.9773004325051317
SD127289.JPEG,너에게 하고 싶은 말,ms_trg,4,0,0.9889886317766817
SG064435.JPEG,40억 vs 1,fs_trg,16,-1,0.0
SD068666.JPEG,이현세 극화시리즈,ms_trg,0,0,0.8920977101653969
SD127660.JPEG,너에게 하고 싶은 말,ms_trg,16,0,0.8557501516266917
SD114917.JPEG,여기사는 더 이상 검을 들지 않았다,fs_trg,5,0,0.8448939790348127
SG148644.JPEG,심술100단 시리즈,ms_trg,3,-1,0.0
SD127428.JPEG,너에게 하고 싶은 말,ms_trg,11,0,1.0
SG112837.JPEG,사랑을 피하여,ms_trg,14,0,1.0
SD082703.JPEG,몽홀,ms_trg,15,0,0.9423863895554052
SD114760.JPEG,여기사는 더 이상 검을 들지 않았다,ms_trg,4,0,1.0
SG148689.JPEG,심술100단 시리즈,fs_trg,3,0,1.0
SD068499.JPEG,이현세 극화시리즈,cu_trg,7,0,0.9372855483693178
SD082725.JPEG,몽홀,cu_trg,15,0,1.0
SD127756.JPEG,너에게 하고 싶은 말,ms_trg,2,0,0.9277223023090132
SG117853.JPEG,어느날 절친이 남자가 되어버렸다,ms_trg,14,0,1.0
SG117599.JPEG,어느날 절친이 남자가 되어버렸다,ms_trg,14,0,1.0
SD104984.JPEG,오세영 창작 극화 시리즈,ms_trg,7,0,0.9276849210601238
SG171373.JPEG,야수,ms_trg,5,0,0.9430862161129695
SD119143.JPEG,낙인의 플레인워커,cu_trg,9,0,1.0
SD082715.JPEG,몽홀,cu_trg,5,0,1.0
SG171748.JPEG,야수,ms_trg,17,0,1.0
SG171865.JPEG,야수,cu_trg,7,0,1.0
SD127330.JPEG,너에게 하고 싶은 말,ms_trg,16,0,0.9426825076092523
SD091716.JPEG,관계의 우로보로스,ms_trg,11,0,1.0
SD092633.JPEG,마이 러블리 투투,ms_trg,1,0,1.0
SD086927.JPEG,보이지 않는 사람,ms_trg,14,0,1.0
SD134555.JPEG,만인지상,cu_trg,10,0,0.9895077558685278
SD068343.JPEG,임꺽정 (완전판),ms_trg,16,0,0.8449912163538886
SG112417.JPEG,사랑을 피하여,cu_trg,11,0,1.0
SD072915.JPEG,상자 속 1/36,ms_trg,11,0,1.0
SG149192.JPEG,심술100단 시리즈,fs_trg,12,0,1.0
SD082582.JPEG,몽홀,ms_trg,5,0,1.0
SD072446.JPEG,상자 속 1/36,ms_trg,4,0,0.9829098939351387
SG178386.JPEG,전학생은 외계인,ms_trg,8,0,0.9788725357937746
